Country Name,Country Code,Indicator Name,Indicator Code,2021
Aruba,ABW,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,67.7714263
Africa Eastern and Southern,AFE,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,55.16356594
Afghanistan,AFG,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,53.95182203
Africa Western and Central,AFW,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,53.92091404
Angola,AGO,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,51.79477267
Albania,ALB,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,67.60199305
Andorra,AND,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,73.17426692
Arab World,ARB,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,63.27564272
United Arab Emirates,ARE,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,87.38413188
Argentina,ARG,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,65.98914536
Armenia,ARM,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,66.50318325
American Samoa,ASM,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,65.37081071
Antigua and Barbuda,ATG,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,71.14084159
Australia,AUS,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,65.33274255
Austria,AUT,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,67.73835457
Azerbaijan,AZE,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,68.61254791
Burundi,BDI,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,50.99067105
Belgium,BEL,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,65.27027322
Benin,BEN,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,54.18923359
Burkina Faso,BFA,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,52.99050764
